ocel_id;ocel_time
weigh_empty_trucktr49;2024-04-01 10:55:39
weigh_empty_trucktr11;2024-04-01 11:33:37
weigh_empty_trucktr15;2024-04-01 11:36:55
weigh_empty_trucktr17;2024-04-01 11:37:18
weigh_empty_trucktr50;2024-04-01 11:52:17
weigh_empty_trucktr9;2024-04-01 11:55:53
weigh_empty_trucktr24;2024-04-01 12:00:00
weigh_empty_trucktr12;2024-04-01 12:03:12
weigh_empty_trucktr23;2024-04-01 12:35:52
weigh_empty_trucktr42;2024-04-01 14:06:13
weigh_empty_trucktr33;2024-04-01 14:09:55
weigh_empty_trucktr43;2024-04-01 14:21:27
weigh_empty_trucktr45;2024-04-01 14:31:02
weigh_empty_trucktr30;2024-04-01 14:36:43
weigh_empty_trucktr13;2024-04-01 14:40:53
weigh_empty_trucktr7;2024-04-01 14:50:31
weigh_empty_trucktr3;2024-04-01 14:54:26
weigh_empty_trucktr28;2024-04-01 14:55:03
weigh_empty_trucktr22;2024-04-01 15:11:29
weigh_empty_trucktr1;2024-04-01 15:15:39
weigh_empty_trucktr18;2024-04-01 15:18:38
weigh_empty_trucktr38;2024-04-01 15:24:12
weigh_empty_trucktr19;2024-04-01 15:28:46
weigh_empty_trucktr4;2024-04-01 15:33:18
weigh_empty_trucktr34;2024-04-01 15:39:58
weigh_empty_trucktr39;2024-04-01 15:44:41
weigh_empty_trucktr29;2024-04-01 15:48:12
weigh_empty_trucktr25;2024-04-01 15:48:44
weigh_empty_trucktr31;2024-04-01 15:50:21
weigh_empty_trucktr21;2024-04-01 16:09:07
weigh_empty_trucktr26;2024-04-01 16:43:02
weigh_empty_trucktr44;2024-04-01 16:45:32
weigh_empty_trucktr5;2024-04-01 16:55:11
weigh_empty_trucktr47;2024-04-01 17:01:46
weigh_empty_trucktr14;2024-04-01 17:02:39
weigh_empty_trucktr48;2024-04-01 17:08:14
weigh_empty_trucktr20;2024-04-01 17:14:46
weigh_empty_trucktr6;2024-04-01 17:15:55
weigh_empty_trucktr10;2024-04-01 17:49:34
weigh_empty_trucktr8;2024-04-01 18:15:39
weigh_empty_trucktr2;2024-04-01 18:52:56
weigh_empty_trucktr16;2024-04-02 07:51:38
weigh_empty_trucktr41;2024-04-02 08:11:58
weigh_empty_trucktr36;2024-04-02 08:38:26
weigh_empty_trucktr37;2024-04-02 09:19:07
weigh_empty_trucktr32;2024-04-02 09:44:58
weigh_empty_trucktr40;2024-04-02 09:58:29
weigh_empty_trucktr35;2024-04-02 10:09:33
weigh_empty_trucktr27;2024-04-02 10:39:55
weigh_empty_trucktr46;2024-04-02 10:59:44
weigh_empty_trucktr24;2024-04-02 13:10:53
weigh_empty_trucktr43;2024-04-02 14:21:02
weigh_empty_trucktr17;2024-04-02 15:35:20
weigh_empty_trucktr50;2024-04-02 15:48:14
weigh_empty_trucktr38;2024-04-02 16:08:34
weigh_empty_trucktr11;2024-04-02 16:13:09
weigh_empty_trucktr15;2024-04-02 16:46:11
weigh_empty_trucktr47;2024-04-02 16:47:10
weigh_empty_trucktr19;2024-04-02 17:02:42
weigh_empty_trucktr23;2024-04-02 17:09:28
weigh_empty_trucktr21;2024-04-03 07:33:03
weigh_empty_trucktr3;2024-04-03 08:26:39
weigh_empty_trucktr49;2024-04-03 09:40:27
weigh_empty_trucktr7;2024-04-03 09:42:10
weigh_empty_trucktr5;2024-04-03 09:48:04
weigh_empty_trucktr44;2024-04-03 10:15:30
weigh_empty_trucktr14;2024-04-03 10:38:05
weigh_empty_trucktr39;2024-04-03 11:03:27
weigh_empty_trucktr12;2024-04-03 11:07:42
weigh_empty_trucktr6;2024-04-03 11:26:21
weigh_empty_trucktr46;2024-04-03 11:27:42
weigh_empty_trucktr2;2024-04-03 11:37:13
weigh_empty_trucktr34;2024-04-03 11:37:35
weigh_empty_trucktr9;2024-04-03 11:41:01
weigh_empty_trucktr33;2024-04-03 11:43:40
weigh_empty_trucktr26;2024-04-03 11:50:44
weigh_empty_trucktr1;2024-04-03 12:03:44
weigh_empty_trucktr31;2024-04-03 12:20:27
weigh_empty_trucktr41;2024-04-03 12:32:20
weigh_empty_trucktr37;2024-04-03 12:34:23
weigh_empty_trucktr18;2024-04-03 13:59:07
weigh_empty_trucktr28;2024-04-03 14:07:20
weigh_empty_trucktr16;2024-04-03 14:07:40
weigh_empty_trucktr4;2024-04-03 14:14:25
weigh_empty_trucktr30;2024-04-03 14:21:16
weigh_empty_trucktr13;2024-04-03 15:12:20
weigh_empty_trucktr42;2024-04-03 15:28:11
weigh_empty_trucktr25;2024-04-03 15:33:50
weigh_empty_trucktr48;2024-04-03 15:35:16
weigh_empty_trucktr22;2024-04-03 15:35:45
weigh_empty_trucktr11;2024-04-03 15:51:30
weigh_empty_trucktr10;2024-04-03 16:12:21
weigh_empty_trucktr29;2024-04-03 16:18:37
weigh_empty_trucktr8;2024-04-03 16:25:20
weigh_empty_trucktr45;2024-04-03 16:31:56
weigh_empty_trucktr27;2024-04-03 17:03:49
weigh_empty_trucktr40;2024-04-03 17:03:55
weigh_empty_trucktr32;2024-04-04 07:19:57
weigh_empty_trucktr17;2024-04-04 09:06:50
weigh_empty_trucktr36;2024-04-04 09:14:02
weigh_empty_trucktr38;2024-04-04 09:16:03
